"id","title","subtitle","description","cta","background_gradient","background_image","is_active","order_index","created_at","updated_at"
"8","Fındık Üretiminizi","Bir Sonraki Seviyeye Taşıyın","Modern tarım teknikleri ve uzman danışmanlık hizmetleriyle verimliliğinizi artırın.","Hemen Başlayın","from-green-600 to-blue-800","/akaydin-tarim/uploads/hero/1761915786_bf8fe5ea5e0da7bf.jpg","1","1","31/10/2025 14:03:03","31/10/2025 16:03:06"
"9","Organomineral Gübreler ile","Doğal ve Verimli Üretim","Çevre dostu gübre çözümlerimizle hem toprağınızı hem de ürününüzü koruyun.","Ürünlerimizi Keşfedin","from-green-600 via-green-700 to-blue-800","/akaydin-tarim/akaydin/images/473292163_122195934224188360_3217727389005714106_n.jpg","1","1","31/10/2025 15:04:28","31/10/2025 15:19:06"
