"id","name","description","category","price","image_url","is_featured","images","created_at","updated_at","seo_title","seo_description","seo_keywords"
"17","Kavrulmuş Fındık","Kavrulmuş Fındık","Fındık Ürünleri","0","/akaydin-tarim/uploads/product/1761920665_ab31e4ab115e6559.jpg","1","[""\/akaydin-tarim\/uploads\/product\/1761920665_ab31e4ab115e6559.jpg""]","31/10/2025 17:10:09","31/10/2025 17:24:25",,,
"18","OrganoMineral Gübre","15 15 15 Organomineral gübre","Gübreler","0","/akaydin-tarim/uploads/product/1761920556_47d0d36298729bc6.jpg","1","[""\/akaydin-tarim\/uploads\/product\/1761920556_47d0d36298729bc6.jpg""]","31/10/2025 17:20:55","31/10/2025 17:22:37",,,
"19","Fındık Ezmesi","Cam kananoz da fındık ezmesi","Fındık  Ürünleri","0","/akaydin-tarim/uploads/product/1761920513_2df6c81ad19d61cd.jpg","1","[""\/akaydin-tarim\/uploads\/product\/1761920513_2df6c81ad19d61cd.jpg""]","31/10/2025 17:21:53","31/10/2025 17:21:53",,,
"20","Kabuklu Fındık","Taze Kabuklu Fındık","Fındık Ürünleri","0","/akaydin-tarim/uploads/product/1761920635_f83c3c947342f579.jpg","1","[""\/akaydin-tarim\/uploads\/product\/1761920635_f83c3c947342f579.jpg""]","31/10/2025 17:23:55","31/10/2025 17:23:55",,,
